reading from file /home/ysc/x30_gridmap_captures/20260714_132556_factory_idle.pcap, link-type EN10MB (Ethernet)
2026-07-14 13:25:56.668717 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:56.669125 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:25:56.780073 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:56.780472 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:25:56.866073 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:56.866483 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:25:56.966529 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:56.966954 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:25:57.086877 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.087341 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:25:57.177239 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.177603 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:25:57.259941 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.260407 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:25:57.375497 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.375958 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:25:57.463733 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.464202 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:57.576053 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.576451 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:25:57.679688 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.680153 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:57.777919 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.778408 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:25:57.887588 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.887986 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:25:57.975908 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:57.976409 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:58.083530 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.083948 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:25:58.163011 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.163423 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:58.263172 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.263607 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:25:58.361320 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.361730 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:58.467270 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.467644 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:25:58.564197 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.564602 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 13:25:58.666985 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.667391 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:58.763563 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.764000 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:25:58.877149 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:25:58.877592 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
