reading from file /home/ysc/x30_gridmap_captures/20260714_142726_mode3_flat_20260714_142726.pcap, link-type EN10MB (Ethernet)
2026-07-14 14:27:26.899322 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:26.899795 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:26.978465 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:26.978873 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:27.077389 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.077817 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 14:27:27.186647 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.187069 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 14:27:27.268974 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.269391 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 14:27:27.366387 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.366785 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:27.475980 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.476379 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:27.577931 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.578466 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 14:27:27.681669 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.682073 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:27.765967 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.766318 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:27.881601 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.882004 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 14:27:27.982196 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 14:27:27.982626 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
