reading from file /home/ysc/x30_gridmap_captures/20260714_150324_mode3_known_step.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:03:24.179873 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.180236 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:24.265450 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.265874 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:24.377296 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.377738 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:24.461896 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.462347 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:03:24.579103 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.579482 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:24.686027 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.686373 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:24.777009 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.777358 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:24.870841 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.871198 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:24.963505 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:24.963908 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:03:25.066397 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.066736 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:25.178638 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.179031 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:03:25.279077 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.279451 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:25.385682 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.386044 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:25.464147 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.464551 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:03:25.565162 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.565597 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:25.665420 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.665816 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:03:25.812855 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.813261 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:03:25.884491 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.884885 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:03:25.975918 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:03:25.976334 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 15:03:26.085278 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
