reading from file /home/ysc/x30_gridmap_captures/20260714_153211_mode3_object_probe.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:32:11.279286 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.279702 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:11.378107 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.378539 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:11.492585 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.492994 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:11.578256 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.578665 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:11.683750 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.684213 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:11.785719 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.786116 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:11.879955 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.880410 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:11.964187 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:11.964604 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:12.080662 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.081086 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:12.181099 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.181510 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:12.277398 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.277883 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:12.379111 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.379563 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:12.477093 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.477525 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:12.575748 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.576147 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:12.686060 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.686482 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:12.782113 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.782568 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:12.862559 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:12.862995 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:13.003269 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.003649 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:13.079991 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.080458 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:13.178246 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.178661 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:13.266778 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.267210 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:13.377252 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.377667 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:13.481564 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.481993 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:13.564360 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.564774 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:13.663845 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.664299 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:13.764224 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.764719 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:13.880109 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.880537 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:13.964080 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:13.964521 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:14.070721 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.071170 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:14.175923 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.176338 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:14.278886 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.279328 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:14.386558 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.386985 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:14.479627 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.480060 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:14.586827 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.587291 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:14.667136 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.667566 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:14.767065 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.767529 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:14.865946 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.866350 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:14.984669 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:14.985168 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:15.083453 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.083917 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:15.177132 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.177573 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:15.278914 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.279329 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:15.364759 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.365168 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:15.466494 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.466957 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:15.584404 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.584831 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:15.661884 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.662307 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:15.765939 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.766347 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:15.878136 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.878568 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:15.964116 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:15.964577 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:16.102486 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.102912 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:16.183067 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.183477 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:16.265383 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.265837 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:16.366510 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.366902 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:16.465742 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:16.466138 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
