reading from file /home/ysc/x30_gridmap_captures/20260714_160857_mode3_measured_step_h022_d029_w035.pcap, link-type EN10MB (Ethernet)
2026-07-14 16:08:57.281112 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.281564 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:08:57.382427 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.382780 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:57.480008 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.480454 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:08:57.576985 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.577416 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:08:57.668316 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.668721 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:57.777259 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.777719 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:08:57.867216 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.867612 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:57.977779 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:57.978139 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:08:58.069011 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.069366 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:08:58.177896 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.178271 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:08:58.267454 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.267860 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:58.383757 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.384162 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 616
2026-07-14 16:08:58.482489 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.482949 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:58.567228 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.567583 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 16:08:58.678789 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.679151 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:58.810580 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.810944 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:08:58.867306 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.867715 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:08:58.980256 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:58.980694 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:08:59.081499 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.081911 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:08:59.178834 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.179237 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:08:59.281176 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.281537 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:08:59.365999 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.366373 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:08:59.494090 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.494496 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:08:59.579441 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.579785 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:08:59.679154 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.679505 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:08:59.783119 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.783544 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:08:59.867632 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.868043 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:08:59.987023 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:08:59.987499 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:00.066499 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.066929 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:00.178392 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.178744 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:00.266315 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:00.266664 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
