source_stamp_sec,source_stamp_nsec,pack_time_sec,pack_time_nsec,pack_latency_ms,time_count_ms,point_count,frame_len,head_id,layer_size,end_id
4322,677194480,4322,753001773,75.807293,132.0,16,232,12345,1,54321
4322,776902198,4322,832139989,55.237791,79.0,24,328,12345,1,54321
4322,876986458,4322,931065457,54.078999,99.0,24,328,12345,1,54321
4322,977083552,4323,40326427,63.242875,109.5,28,376,12345,1,54321
4323,77021395,4323,122655477,45.634082,82.0,36,472,12345,1,54321
4323,176899155,4323,220072153,43.172998,97.5,20,280,12345,1,54321
4323,277022499,4323,329672331,52.649832,109.5,20,280,12345,1,54321
4323,376946925,4323,431608966,54.662041,102.0,16,232,12345,1,54321
4323,477027102,4323,535363560,58.336458,104.0,20,280,12345,1,54321
4323,576966112,4323,619651151,42.685039,84.0,20,280,12345,1,54321
4323,676877414,4323,735282996,58.405582,116.0,20,280,12345,1,54321
4323,776930174,4323,835876507,58.946333,100.5,12,184,12345,1,54321
4323,876954059,4323,930033224,53.079165,94.0,16,232,12345,1,54321
4323,977035986,4324,36554277,59.518291,106.5,24,328,12345,1,54321
4324,76921912,4324,121642494,44.720582,85.0,28,376,12345,1,54321
4324,176879881,4324,237679172,60.799291,116.0,16,232,12345,1,54321
4324,277105016,4324,318938097,41.833081,81.5,16,232,12345,1,54321
4324,377000859,4324,433686192,56.685333,114.5,28,376,12345,1,54321
4324,477031453,4324,536377369,59.345916,103.0,20,280,12345,1,54321
4324,576897546,4324,631621128,54.723582,95.0,24,328,12345,1,54321
4324,676917056,4324,725043429,48.126373,93.5,40,520,12345,1,54321
4324,776921399,4324,821214397,44.292998,96.0,24,328,12345,1,54321
4324,877082368,4324,919270115,42.187747,98.5,20,280,12345,1,54321
4324,976945544,4325,23083042,46.137498,103.5,36,472,12345,1,54321
4325,77054305,4325,135759429,58.705124,113.0,24,328,12345,1,54321
4325,177021606,4325,237166106,60.1445,101.0,24,328,12345,1,54321
4325,277036450,4325,313833613,36.797163,77.0,16,232,12345,1,54321
4325,376982751,4325,437986501,61.00375,124.0,20,280,12345,1,54321
4325,477021803,4325,539462594,62.440791,101.5,32,424,12345,1,54321
4325,577018271,4325,631684395,54.666124,92.0,16,232,12345,1,54321
4325,676878823,4325,717719654,40.840831,86.0,16,232,12345,1,54321
4325,776949375,4325,830496957,53.547582,113.0,12,184,12345,1,54321
4325,877067760,4325,918617341,41.549581,88.0,16,232,12345,1,54321
4325,976910520,4326,33530811,56.620291,115.0,24,328,12345,1,54321
4326,76933822,4326,132070404,55.136582,98.5,24,328,12345,1,54321
4326,176875748,4326,218752871,41.877123,87.0,24,328,12345,1,54321
4326,276940175,4326,318804464,41.864289,100.0,24,328,12345,1,54321
4326,377144310,4326,423652225,46.507915,104.5,28,376,12345,1,54321
4326,476927278,4326,530502277,53.574999,107.0,20,280,12345,1,54321
4326,576976247,4326,630585371,53.609124,100.0,44,568,12345,1,54321
4326,677100465,4326,736183298,59.082833,105.5,24,328,12345,1,54321
4326,776999225,4326,848042726,71.043501,112.0,24,328,12345,1,54321
4326,877026027,4326,928346734,51.320707,80.5,24,328,12345,1,54321
4326,976922454,4327,34684036,57.761582,106.0,16,232,12345,1,54321
4327,76950130,4327,119659378,42.709248,85.0,24,328,12345,1,54321
4327,177006099,4327,231977306,54.971207,112.5,16,232,12345,1,54321
4327,276926151,4327,336837317,59.911166,105.0,16,232,12345,1,54321
4327,376940702,4327,416172991,39.232289,79.0,16,232,12345,1,54321
4327,476985879,4327,520653252,43.667373,104.5,20,280,12345,1,54321
4327,577007431,4327,641379056,64.371625,121.0,20,280,12345,1,54321
4327,676973857,4327,730662023,53.688166,89.0,20,280,12345,1,54321
4327,776933576,4327,827150616,50.21704,96.5,20,280,12345,1,54321
4327,876949003,4327,934075918,57.126915,107.0,24,328,12345,1,54321
4327,976919221,4328,34782595,57.863374,101.0,16,232,12345,1,54321
4328,76943106,4328,133634272,56.691166,98.5,28,376,12345,1,54321
4328,177064991,4328,230155240,53.090249,96.5,24,328,12345,1,54321
4328,277030251,4328,338616751,61.5865,108.5,28,376,12345,1,54321
4328,376879428,4328,436122385,59.242957,97.5,16,232,12345,1,54321
4328,477014438,4328,517424185,40.409747,81.5,16,232,12345,1,54321
4328,576974156,4328,618166154,41.191998,100.5,40,520,12345,1,54321
4328,676905583,4328,733298957,56.393374,115.5,16,232,12345,1,54321
4328,776990135,4328,818829049,41.838914,85.5,12,184,12345,1,54321
4328,876962978,4328,942028770,65.065792,123.0,28,376,12345,1,54321
4328,977137363,4329,15067652,37.930289,73.0,16,232,12345,1,54321
4329,76995581,4329,131149539,54.153958,116.0,16,232,12345,1,54321
4329,176986216,4329,221550756,44.56454,90.5,16,232,12345,1,54321
4329,276908018,4329,319543182,42.635164,98.0,24,328,12345,1,54321
4329,376896612,4329,434238194,57.341582,114.5,28,376,12345,1,54321
4329,476918747,4329,517542869,40.624122,83.5,20,280,12345,1,54321
4329,576944965,4329,632027881,55.082916,114.5,36,472,12345,1,54321
4329,677135392,4329,714825347,37.689955,83.0,40,520,12345,1,54321
4329,777004985,4329,837495693,60.490708,122.5,32,424,12345,1,54321
4329,876917162,4329,917734659,40.817497,80.0,32,424,12345,1,54321
4329,977008422,4330,32834213,55.825791,115.5,40,520,12345,1,54321
4330,77369182,4330,131317222,53.94804,98.5,12,184,12345,1,54321
4330,177299442,4330,216454731,39.155289,85.0,20,280,12345,1,54321
4330,276933660,4330,318281991,41.348331,102.0,20,280,12345,1,54321
4330,377044754,4330,430947878,53.903124,112.5,12,184,12345,1,54321
4330,477215347,4330,519638178,42.422831,88.5,16,232,12345,1,54321
4330,576890690,4330,632264981,55.374291,113.0,16,232,12345,1,54321
4330,676910784,4330,731408324,54.49754,99.0,24,328,12345,1,54321
4330,777073794,4330,830741543,53.667749,99.0,36,472,12345,1,54321
4330,876954762,4330,921735135,44.780373,91.0,20,280,12345,1,54321
4330,977151897,4331,34067063,56.915166,112.5,20,280,12345,1,54321
4331,77007491,4331,118236822,41.229331,84.0,28,376,12345,1,54321
4331,176898084,4331,219958790,43.060706,102.0,12,184,12345,1,54321
4331,276958427,4331,328697093,51.738666,108.5,24,328,12345,1,54321
4331,376943813,4331,417042643,40.09883,88.5,16,232,12345,1,54321
4331,476885448,4331,518821195,41.935747,102.0,32,424,12345,1,54321
4331,576872291,4331,620123747,43.251456,101.0,36,472,12345,1,54321
4331,676911634,4331,740347009,63.435375,120.5,20,280,12345,1,54321
4331,776866686,4331,822958976,46.09229,82.5,20,280,12345,1,54321
4331,876979238,4331,922216361,45.237123,99.0,20,280,12345,1,54321
4331,976948581,4332,17803704,40.855123,96.0,24,328,12345,1,54321
4332,76870383,4332,118135005,41.264622,100.0,36,472,12345,1,54321
4332,176927810,4332,232250767,55.322957,114.5,24,328,12345,1,54321
4332,276956653,4332,318099650,41.142997,85.5,24,328,12345,1,54321
4332,376935621,4332,418886827,41.951206,101.0,24,328,12345,1,54321
4332,476989548,4332,543897506,66.907958,125.0,36,472,12345,1,54321
4332,577107058,4332,630762849,53.655791,87.0,24,328,12345,1,54321
4332,676871360,4332,733418734,56.547374,102.5,16,232,12345,1,54321
4332,777003453,4332,817087117,40.083664,83.5,36,472,12345,1,54321
4332,877099963,4332,939162171,62.062208,122.0,24,328,12345,1,54321
4332,976992890,4333,36539764,59.546874,97.5,16,232,12345,1,54321
4333,77051192,4333,129458649,52.407457,93.0,16,232,12345,1,54321
4333,176902702,4333,219934533,43.031831,90.5,20,280,12345,1,54321
4333,276963337,4333,341230253,64.266916,121.0,24,328,12345,1,54321
4333,377072972,4333,418452511,41.379539,77.5,16,232,12345,1,54321
4333,476944024,4333,533739314,56.79529,115.0,20,280,12345,1,54321
4333,577014867,4333,638967408,61.952541,105.5,24,328,12345,1,54321
4333,676956794,4333,718708500,41.751706,79.5,36,472,12345,1,54321
4333,776942179,4333,834919011,57.976832,116.5,44,568,12345,1,54321
4333,877053855,4333,932756854,55.702999,98.0,12,184,12345,1,54321
4333,977069574,4334,32334489,55.264915,99.5,12,184,12345,1,54321
4334,77279542,4334,120302915,43.023373,88.0,20,280,12345,1,54321
4334,177093719,4334,234446385,57.352666,114.0,24,328,12345,1,54321
4334,276966229,4334,329320894,52.354665,95.0,16,232,12345,1,54321
4334,376992156,4334,426212862,49.220706,96.5,20,280,12345,1,54321
4334,476922707,4334,514690829,37.768122,88.5,20,280,12345,1,54321
4334,576998801,4334,616645840,39.647039,102.0,24,328,12345,1,54321
4334,676955602,4334,731091476,54.135874,114.5,20,280,12345,1,54321
4334,776892279,4334,833857320,56.965041,103.0,28,376,12345,1,54321
4334,876951164,4334,932591163,55.639999,98.5,28,376,12345,1,54321
4334,976918758,4335,36887382,59.968624,104.5,36,472,12345,1,54321
4335,77063101,4335,118216890,41.153789,81.0,20,280,12345,1,54321
4335,177350653,4335,235070819,57.720166,117.0,20,280,12345,1,54321
4335,276917204,4335,338128912,61.211708,103.0,40,520,12345,1,54321
4335,376908131,4335,417973254,41.065123,80.0,32,424,12345,1,54321
4335,476968183,4335,519276972,42.308789,101.5,12,184,12345,1,54321
4335,576995568,4335,634643400,57.647832,115.0,24,328,12345,1,54321
4335,676990870,4335,739929828,62.938958,105.5,28,376,12345,1,54321
4335,776959921,4335,837612796,60.652875,97.5,28,376,12345,1,54321
4335,877028140,4335,921377429,44.349289,84.0,20,280,12345,1,54321
4335,976926316,4336,34731357,57.805041,113.0,28,376,12345,1,54321
4336,77103035,4336,141127576,64.024541,106.5,32,424,12345,1,54321
4336,176918086,4336,222185251,45.267165,81.0,16,232,12345,1,54321
4336,277040263,4336,341136263,64.096,119.0,32,424,12345,1,54321
4336,376939315,4336,418584562,41.645247,77.5,16,232,12345,1,54321
4336,477041658,4336,532908866,55.867208,114.5,24,328,12345,1,54321
4336,576885585,4336,638451376,61.565791,105.5,28,376,12345,1,54321
4336,676963137,4336,717498884,40.535747,79.0,24,328,12345,1,54321
4336,776956397,4336,831608229,54.651832,114.0,16,232,12345,1,54321
4336,876895698,4336,920395071,43.499373,89.0,40,520,12345,1,54321
4336,977065417,4337,35161833,58.096416,114.5,24,328,12345,1,54321
4337,76977885,4337,133314676,56.336791,98.5,36,472,12345,1,54321
4337,177141770,4337,222149935,45.008165,88.5,24,328,12345,1,54321
4337,276717072,4337,339504947,62.787875,117.5,36,472,12345,1,54321
4337,376969332,4337,441203874,64.234542,101.5,28,376,12345,1,54321
4337,476904550,4337,539054842,62.150292,98.0,20,280,12345,1,54321
4337,576946519,4337,630686601,53.740082,91.5,28,376,12345,1,54321
4337,676935987,4337,740169820,63.233833,109.5,20,280,12345,1,54321
4337,777032497,4337,837907038,60.874541,98.0,16,232,12345,1,54321
4337,877084091,4337,916374130,39.290039,78.5,28,376,12345,1,54321
4337,977095142,4338,18438515,41.343373,102.0,24,328,12345,1,54321
4338,76940236,4338,140148402,63.208166,121.5,40,520,12345,1,54321
4338,176982204,4338,217999202,41.016998,78.0,16,232,12345,1,54321
4338,276938714,4338,341335714,64.397,123.5,28,376,12345,1,54321
4338,376884433,4338,422030555,45.146122,80.5,16,232,12345,1,54321
4338,476897234,4338,515411148,38.513914,93.5,16,232,12345,1,54321
4338,576935994,4338,635652494,58.7165,120.0,40,520,12345,1,54321
4338,677117963,4338,717108877,39.990914,81.5,20,280,12345,1,54321
4338,777004764,4338,871220309,94.215545,154.0,12,184,12345,1,54321
4338,876981108,4338,919724480,42.743372,48.5,16,232,12345,1,54321
4338,976973784,4339,17846699,40.872915,98.5,28,376,12345,1,54321
4339,76901128,4339,141000044,64.098916,123.0,20,280,12345,1,54321
4339,176911305,4339,220711094,43.799789,79.5,16,232,12345,1,54321
4339,277050106,4339,332497022,55.446916,112.0,16,232,12345,1,54321
4339,377017408,4339,437325532,60.308124,105.0,16,232,12345,1,54321
4339,476980626,4339,536664001,59.683375,99.0,12,184,12345,1,54321
4339,576790428,4339,681606599,104.816171,145.0,16,232,12345,1,54321
4339,676914355,4339,763331607,86.417252,82.0,20,280,12345,1,54321
4339,776934740,4339,822271613,45.336873,59.0,24,328,12345,1,54321
