stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
6482,676892427,6482734809176,world,24,1,24,6,1,True,True,0.0
6482,777016937,6482831074644,world,24,1,24,6,1,True,True,0.0
6482,877020113,6482923996445,world,28,1,28,7,1,True,True,0.0
6482,976983040,6483022624413,world,24,1,24,6,1,True,True,0.0
6483,76953842,6483118536964,world,24,1,24,6,1,True,True,0.0
6483,177045394,6483220686516,world,44,1,44,11,1,True,True,0.0
6483,276970404,6483338304611,world,44,1,44,11,1,True,True,0.0
6483,376937705,6483420552870,world,32,1,32,8,1,True,True,0.0
6483,476929215,6483518546463,world,32,1,32,8,1,True,True,0.0
6483,577046142,6483674107187,world,20,1,20,5,1,True,True,0.0
6483,677047569,6483717409775,world,24,1,24,6,1,True,True,0.0
6483,776940787,6483819642743,world,20,1,20,5,1,True,True,0.0
6483,876937839,6483921923837,world,24,1,24,6,1,True,True,0.0
6483,976901932,6484031486389,world,20,1,20,5,1,True,True,0.0
6484,76959651,6484132992816,world,36,1,36,9,1,True,True,0.0
6484,176959036,6484216358741,world,20,1,20,5,1,True,True,0.0
6484,276889879,6484332054170,world,20,1,20,5,1,True,True,0.0
6484,377095472,6484422220595,world,32,1,32,8,1,True,True,0.0
6484,477063066,6484535934440,world,24,1,24,6,1,True,True,0.0
6484,576898243,6484631188700,world,16,1,16,4,1,True,True,0.0
6484,676876628,6484716566250,world,24,1,24,6,1,True,True,0.0
6484,776883888,6484830513428,world,16,1,16,4,1,True,True,0.0
6484,876935481,6484936267105,world,16,1,16,4,1,True,True,0.0
6484,976981241,6485018510697,world,36,1,36,9,1,True,True,0.0
6485,77219209,6485139818667,world,12,1,12,3,1,True,True,0.0
6485,176902136,6485233179427,world,12,1,12,3,1,True,True,0.0
6485,276948771,6485333994895,world,24,1,24,6,1,True,True,0.0
6485,376916948,6485433106447,world,28,1,28,7,1,True,True,0.0
6485,476921291,6485520762789,world,28,1,28,7,1,True,True,0.0
6485,576910176,6485620106799,world,44,1,44,11,1,True,True,0.0
6485,677067936,6485723383934,world,32,1,32,8,1,True,True,0.0
6485,776912738,6485817224486,world,28,1,28,7,1,True,True,0.0
6485,876999040,6485922385496,world,28,1,28,7,1,True,True,0.0
6485,976883508,6486019680548,world,24,1,24,6,1,True,True,0.0
6486,76876768,6486138444601,world,20,1,20,5,1,True,True,0.0
6486,176955487,6486221436318,world,16,1,16,4,1,True,True,0.0
6486,276961872,6486319063578,world,24,1,24,6,1,True,True,0.0
6486,377063340,6486438408340,world,36,1,36,9,1,True,True,0.0
6486,476935558,6486538214058,world,20,1,20,5,1,True,True,0.0
6486,576890610,6486618655441,world,28,1,28,7,1,True,True,0.0
6486,676971662,6486734986994,world,24,1,24,6,1,True,True,0.0
6486,776948880,6486819987128,world,20,1,20,5,1,True,True,0.0
6486,876987640,6486940172473,world,24,1,24,6,1,True,True,0.0
6486,976888150,6487036911608,world,28,1,28,7,1,True,True,0.0
6487,76988160,6487141266744,world,36,1,36,9,1,True,True,0.0
6487,176919295,6487224017252,world,16,1,16,4,1,True,True,0.0
6487,276941139,6487337251013,world,20,1,20,5,1,True,True,0.0
6487,377067399,6487440562565,world,28,1,28,7,1,True,True,0.0
6487,476955367,6487523596574,world,36,1,36,9,1,True,True,0.0
6487,576992961,6487619786792,world,24,1,24,6,1,True,True,0.0
6487,677082762,6487735282428,world,28,1,28,7,1,True,True,0.0
6487,777091772,6487832677813,world,16,1,16,4,1,True,True,0.0
6487,876898366,6487937303324,world,16,1,16,4,1,True,True,0.0
6487,976945876,6488018705165,world,24,1,24,6,1,True,True,0.0
6488,76972386,6488117952633,world,20,1,20,5,1,True,True,0.0
6488,176885146,6488235184562,world,28,1,28,7,1,True,True,0.0
6488,277041448,6488334388863,world,28,1,28,7,1,True,True,0.0
6488,377015458,6488435927665,world,40,1,40,10,1,True,True,0.0
6488,477134426,6488532665633,world,32,1,32,8,1,True,True,0.0
6488,576986811,6488622117767,world,28,1,28,7,1,True,True,0.0
6488,677015655,6488734842279,world,24,1,24,6,1,True,True,0.0
6488,776996956,6488820880746,world,16,1,16,4,1,True,True,0.0
6488,876898633,6488919301631,world,32,1,32,8,1,True,True,0.0
6488,976881685,6489021564641,world,28,1,28,7,1,True,True,0.0
6489,77038570,6489132208402,world,36,1,36,9,1,True,True,0.0
6489,177029496,6489235820371,world,36,1,36,9,1,True,True,0.0
6489,276913965,6489318304879,world,16,1,16,4,1,True,True,0.0
6489,377045183,6489426401807,world,20,1,20,5,1,True,True,0.0
6489,476945985,6489569242946,world,16,1,16,4,1,True,True,0.0
6489,577014203,6489635347744,world,16,1,16,4,1,True,True,0.0
6489,677050047,6489718568128,world,24,1,24,6,1,True,True,0.0
6489,777006848,6489837418514,world,20,1,20,5,1,True,True,0.0
6489,876990192,6489928860107,world,24,1,24,6,1,True,True,0.0
6489,977105077,6490018962949,world,16,1,16,4,1,True,True,0.0
6490,76987504,6490118818543,world,20,1,20,5,1,True,True,0.0
6490,176947222,6490248837139,world,16,1,16,4,1,True,True,0.0
6490,276899357,6490316000688,world,24,1,24,6,1,True,True,0.0
6490,376891450,6490419059365,world,16,1,16,4,1,True,True,0.0
6490,476953544,6490521593917,world,32,1,32,8,1,True,True,0.0
6490,576882054,6490636920970,world,24,1,24,6,1,True,True,0.0
6490,676952314,6490722031353,world,44,1,44,11,1,True,True,0.0
6490,777047366,6490834903448,world,16,1,16,4,1,True,True,0.0
6490,876905876,6490919140582,world,28,1,28,7,1,True,True,0.0
6490,976889219,6491035235593,world,28,1,28,7,1,True,True,0.0
6491,77069729,6491134916187,world,12,1,12,3,1,True,True,0.0
6491,176916864,6491235587280,world,24,1,24,6,1,True,True,0.0
6491,277010749,6491320105288,world,16,1,16,4,1,True,True,0.0
6491,376932842,6491441631426,world,16,1,16,4,1,True,True,0.0
6491,477033728,6491513566933,world,16,1,16,4,1,True,True,0.0
6491,577033404,6491623045486,world,32,1,32,8,1,True,True,0.0
6491,676891914,6491733173872,world,20,1,20,5,1,True,True,0.0
6491,777164299,6491832379632,world,36,1,36,9,1,True,True,0.0
6491,877041476,6491933556475,world,24,1,24,6,1,True,True,0.0
6491,976999444,6492041132778,world,28,1,28,7,1,True,True,0.0
6492,76899663,6492118614035,world,20,1,20,5,1,True,True,0.0
6492,177009881,6492234804714,world,20,1,20,5,1,True,True,0.0
6492,276947433,6492327944098,world,16,1,16,4,1,True,True,0.0
6492,377062901,6492419868982,world,40,1,40,10,1,True,True,0.0
6492,477006286,6492532830327,world,16,1,16,4,1,True,True,0.0
6492,576882005,6492633454462,world,32,1,32,8,1,True,True,0.0
6492,676895098,6492736842431,world,16,1,16,4,1,True,True,0.0
