source_stamp_sec,source_stamp_nsec,pack_time_sec,pack_time_nsec,pack_latency_ms,time_count_ms,point_count,frame_len,head_id,layer_size,end_id
6479,977002364,6480,33559946,56.557582,95.0,20,280,12345,1,54321
6480,77062999,6480,119114830,42.051831,85.5,24,328,12345,1,54321
6480,176956509,6480,230970174,54.013665,112.0,24,328,12345,1,54321
6480,277080727,6480,315590266,38.509539,84.5,40,520,12345,1,54321
6480,376978321,6480,432782820,55.804499,117.5,24,328,12345,1,54321
6480,476878247,6480,539707247,62.829,106.5,16,232,12345,1,54321
6480,577083841,6480,630686548,53.602707,91.0,24,328,12345,1,54321
6480,676918434,6480,724520099,47.601665,94.0,16,232,12345,1,54321
6480,776946111,6480,817181150,40.235039,92.5,28,376,12345,1,54321
6480,876920412,6480,920089035,43.168623,103.0,32,424,12345,1,54321
6480,977027131,6481,32329963,55.302832,112.5,20,280,12345,1,54321
6481,76982474,6481,132757223,55.774749,100.5,24,328,12345,1,54321
6481,176976318,6481,239375109,62.398791,106.5,24,328,12345,1,54321
6481,276911828,6481,317813325,40.901497,78.5,40,520,12345,1,54321
6481,377003379,6481,418839377,41.835998,101.0,24,328,12345,1,54321
6481,476909139,6481,519116429,42.20729,100.0,24,328,12345,1,54321
6481,576901816,6481,666550152,89.648336,147.5,32,424,12345,1,54321
6481,677021660,6481,738186409,61.164749,71.5,16,232,12345,1,54321
6481,777061003,6481,829596210,52.535207,91.5,12,184,12345,1,54321
6481,877103846,6481,938954013,61.850167,109.5,32,424,12345,1,54321
6481,976913356,6482,18788729,41.875373,80.0,20,280,12345,1,54321
6482,77020075,6482,120716031,43.695956,101.5,20,280,12345,1,54321
6482,176894335,6482,242312168,65.417833,122.0,16,232,12345,1,54321
6482,276972761,6482,332313510,55.340749,90.0,16,232,12345,1,54321
6482,376882605,6482,418113394,41.230789,85.5,12,184,12345,1,54321
6482,476878198,6482,537533698,60.6555,119.5,24,328,12345,1,54321
6482,577045292,6482,618990956,41.945664,81.5,16,232,12345,1,54321
6482,676892427,6482,734866051,57.973624,116.0,24,328,12345,1,54321
6482,777016937,6482,831107894,54.090957,96.0,24,328,12345,1,54321
6482,877020113,6482,923969612,46.949499,93.0,28,376,12345,1,54321
6482,976983040,6483,22713955,45.730915,98.5,24,328,12345,1,54321
6483,76953842,6483,118427589,41.473747,96.0,24,328,12345,1,54321
6483,177045394,6483,220768183,43.722789,102.5,44,568,12345,1,54321
6483,276970404,6483,338205736,61.235332,117.0,44,568,12345,1,54321
6483,376937705,6483,420322453,43.384748,82.5,32,424,12345,1,54321
6483,476929215,6483,518579421,41.650206,98.0,32,424,12345,1,54321
6483,577046142,6483,674510854,97.464712,156.0,20,280,12345,1,54321
6483,677047569,6483,717414441,40.366872,43.0,24,328,12345,1,54321
6483,776940787,6483,819625535,42.684748,102.0,20,280,12345,1,54321
6483,876937839,6483,922133837,45.195998,102.5,24,328,12345,1,54321
6483,976901932,6484,31491348,54.589416,109.5,20,280,12345,1,54321
6484,76959651,6484,132850483,55.890832,101.5,36,472,12345,1,54321
6484,176959036,6484,216611325,39.652289,83.5,20,280,12345,1,54321
6484,276889879,6484,332190378,55.300499,115.5,20,280,12345,1,54321
6484,377095472,6484,422311012,45.21554,90.5,32,424,12345,1,54321
6484,477063066,6484,535932690,58.869624,113.5,24,328,12345,1,54321
6484,576898243,6484,631326658,54.428415,95.5,16,232,12345,1,54321
6484,676876628,6484,716610583,39.733955,85.0,24,328,12345,1,54321
6484,776883888,6484,830677345,53.793457,114.0,16,232,12345,1,54321
