cell_index,x_index,y_index,x_m,y_m,elevation_observations,elevation_median,slope_observations,slope_median,accessibility_observations,accessibility_median
0,0,0,1.485,1.485,0,nan,147,0.0,147,0.0
1,1,0,1.455,1.485,0,nan,147,0.0,147,0.0
2,2,0,1.425,1.485,0,nan,147,0.0,147,0.0
3,3,0,1.395,1.485,0,nan,147,0.0,147,0.0
4,4,0,1.365,1.485,0,nan,147,0.0,147,0.0
5,5,0,1.335,1.485,0,nan,147,0.0,147,0.0
6,6,0,1.305,1.485,0,nan,147,0.0,147,0.0
7,7,0,1.275,1.485,0,nan,147,0.0,147,0.0
8,8,0,1.245,1.485,0,nan,147,0.0,147,0.0
9,9,0,1.215,1.485,0,nan,147,0.0,147,0.0
10,10,0,1.185,1.485,0,nan,147,0.0,147,0.0
11,11,0,1.155,1.485,0,nan,147,0.0,147,0.0
12,12,0,1.125,1.485,0,nan,147,0.0,147,0.0
13,13,0,1.095,1.485,0,nan,147,0.0,147,0.0
14,14,0,1.065,1.485,0,nan,147,0.0,147,0.0
15,15,0,1.0350000000000001,1.485,0,nan,147,0.0,147,0.0
16,16,0,1.005,1.485,0,nan,147,0.0,147,0.0
17,17,0,0.975,1.485,0,nan,147,0.0,147,0.0
18,18,0,0.9450000000000001,1.485,0,nan,147,0.0,147,0.0
19,19,0,0.915,1.485,0,nan,147,0.0,147,0.0
20,20,0,0.885,1.485,0,nan,147,0.0,147,0.0
21,21,0,0.855,1.485,0,nan,147,0.0,147,0.0
22,22,0,0.8250000000000001,1.485,0,nan,147,0.0,147,0.0
23,23,0,0.795,1.485,0,nan,147,0.0,147,0.0
24,24,0,0.765,1.485,0,nan,147,0.0,147,0.0
25,25,0,0.735,1.485,0,nan,147,0.0,147,0.0
26,26,0,0.7050000000000001,1.485,0,nan,147,0.0,147,0.0
27,27,0,0.675,1.485,0,nan,147,0.0,147,0.0
28,28,0,0.645,1.485,0,nan,147,0.0,147,0.0
29,29,0,0.615,1.485,0,nan,147,0.0,147,0.0
30,30,0,0.5850000000000001,1.485,0,nan,147,0.0,147,0.0
31,31,0,0.555,1.485,0,nan,147,0.0,147,0.0
32,32,0,0.525,1.485,0,nan,147,0.0,147,0.0
33,33,0,0.4950000000000001,1.485,0,nan,147,0.0,147,0.0
34,34,0,0.4650000000000001,1.485,0,nan,147,0.0,147,0.0
35,35,0,0.43500000000000005,1.485,0,nan,147,0.0,147,0.0
36,36,0,0.405,1.485,0,nan,147,0.0,147,0.0
37,37,0,0.375,1.485,0,nan,147,0.0,147,0.0
38,38,0,0.345,1.485,0,nan,147,0.0,147,0.0
39,39,0,0.31499999999999995,1.485,0,nan,147,0.0,147,0.0
40,40,0,0.28500000000000014,1.485,0,nan,147,0.0,147,0.0
41,41,0,0.2550000000000001,1.485,0,nan,147,0.0,147,0.0
42,42,0,0.2250000000000001,1.485,0,nan,147,0.0,147,0.0
43,43,0,0.19500000000000006,1.485,0,nan,147,0.0,147,0.0
44,44,0,0.16500000000000004,1.485,0,nan,147,0.0,147,0.0
45,45,0,0.135,1.485,0,nan,147,0.0,147,0.0
46,46,0,0.10499999999999998,1.485,0,nan,147,0.0,147,0.0
47,47,0,0.07499999999999996,1.485,0,nan,147,0.0,147,0.0
48,48,0,0.04500000000000015,1.485,0,nan,147,0.0,147,0.0
49,49,0,0.015000000000000124,1.485,0,nan,147,0.0,147,0.0
