stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
10415,277051020,10415347521104,world,32,1,32,8,1,True,True,0.0
10415,377014239,10415433109821,world,24,1,24,6,1,True,True,0.0
10415,477413499,10415532755706,world,16,1,16,4,1,True,True,0.0
10415,576877967,10415636972883,world,44,1,44,11,1,True,True,0.0
10415,676882602,10415721370433,world,16,1,16,4,1,True,True,0.0
10415,776968320,10415840702945,world,16,1,16,4,1,True,True,0.0
10415,877091080,10415920160828,world,20,1,20,5,1,True,True,0.0
10415,976939965,10416031975048,world,28,1,28,7,1,True,True,0.0
10416,77289059,10416120045848,world,20,1,20,5,1,True,True,0.0
10416,177099736,10416225212984,world,28,1,28,7,1,True,True,0.0
10416,276967871,10416338776620,world,28,1,28,7,1,True,True,0.0
10416,376901631,10416436335922,world,20,1,20,5,1,True,True,0.0
10416,476969266,10416563108268,world,20,1,20,5,1,True,True,0.0
10416,576960484,10416623336565,world,28,1,28,7,1,True,True,0.0
10416,677269619,10416716151033,world,28,1,28,7,1,True,True,0.0
10416,777031588,10416840756879,world,32,1,32,8,1,True,True,0.0
10416,877140639,10416918536220,world,44,1,44,11,1,True,True,0.0
10416,976937316,10417035707482,world,44,1,44,11,1,True,True,0.0
10417,77139701,10417133244325,world,24,1,24,6,1,True,True,0.0
10417,176878628,10417242136044,world,36,1,36,9,1,True,True,0.0
10417,276887346,10417320558511,world,32,1,32,8,1,True,True,0.0
10417,376884689,10417424493646,world,16,1,16,4,1,True,True,0.0
10417,476886700,10417572671703,world,24,1,24,6,1,True,True,0.0
10417,577098710,10417637871751,world,28,1,28,7,1,True,True,0.0
10417,677081178,10417734774510,world,52,1,52,13,1,True,True,0.0
10417,777013771,10417831283812,world,24,1,24,6,1,True,True,0.0
10417,877326406,10417933819239,world,40,1,40,10,1,True,True,0.0
10417,977150791,10418034186707,world,36,1,36,9,1,True,True,0.0
10418,77118385,10418135181259,world,24,1,24,6,1,True,True,0.0
10418,177300645,10418236341186,world,20,1,20,5,1,True,True,0.0
10418,276887613,10418320120986,world,28,1,28,7,1,True,True,0.0
10418,376921123,10418438090248,world,24,1,24,6,1,True,True,0.0
10418,477323592,10418542697967,world,28,1,28,7,1,True,True,0.0
10418,577065435,10418639692601,world,28,1,28,7,1,True,True,0.0
10418,676881945,10418723647110,world,36,1,36,9,1,True,True,0.0
10418,777294330,10418818332619,world,40,1,40,10,1,True,True,0.0
10418,877110257,10418934516589,world,32,1,32,8,1,True,True,0.0
10418,977020684,10419058049102,world,20,1,20,5,1,True,True,0.0
10419,76924402,10419129643067,world,16,1,16,4,1,True,True,0.0
10419,177137579,10419220350826,world,32,1,32,8,1,True,True,0.0
10419,277158547,10419317281294,world,16,1,16,4,1,True,True,0.0
10419,376936849,10419436761681,world,28,1,28,7,1,True,True,0.0
10419,477166942,10419541401192,world,32,1,32,8,1,True,True,0.0
10419,576923952,10419640978244,world,36,1,36,9,1,True,True,0.0
10419,676916921,10419752784005,world,32,1,32,8,1,True,True,0.0
10419,777115806,10419832946263,world,28,1,28,7,1,True,True,0.0
10419,876876607,10419920835063,world,28,1,28,7,1,True,True,0.0
10419,977226867,10420031465991,world,24,1,24,6,1,True,True,0.0
10420,77079252,10420137107085,world,24,1,24,6,1,True,True,0.0
10420,177335596,10420222286302,world,16,1,16,4,1,True,True,0.0
10420,276932773,10420321106479,world,24,1,24,6,1,True,True,0.0
10420,376954033,10420421205905,world,32,1,32,8,1,True,True,0.0
10420,477013501,10420533733833,world,24,1,24,6,1,True,True,0.0
10420,577079969,10420621898259,world,24,1,24,6,1,True,True,0.0
10420,677039688,10420718882977,world,36,1,36,9,1,True,True,0.0
10420,777027114,10420834796280,world,28,1,28,7,1,True,True,0.0
10420,877182250,10420921200497,world,24,1,24,6,1,True,True,0.0
10420,976950343,10421032923717,world,28,1,28,7,1,True,True,0.0
10421,77341436,10421160171480,world,16,1,16,4,1,True,True,0.0
10421,176939196,10421240040321,world,16,1,16,4,1,True,True,0.0
10421,277065165,10421338090789,world,16,1,16,4,1,True,True,0.0
10421,377025758,10421432440299,world,24,1,24,6,1,True,True,0.0
10421,477371060,10421564691312,world,20,1,20,5,1,True,True,0.0
10421,577055153,10421632414569,world,20,1,20,5,1,True,True,0.0
10421,677081955,10421723813870,world,36,1,36,9,1,True,True,0.0
