source_stamp_sec,source_stamp_nsec,pack_time_sec,pack_time_nsec,pack_latency_ms,time_count_ms,point_count,frame_len,head_id,layer_size,end_id
10413,76921632,10413,134789965,57.868333,113.0,36,472,12345,1,54321
10413,177015517,10413,236099225,59.083708,101.0,20,280,12345,1,54321
10413,276936736,10413,333688860,56.752124,98.0,44,568,12345,1,54321
10413,377290788,10413,430663078,53.37229,97.0,44,568,12345,1,54321
10413,477123631,10413,521997046,44.873415,91.0,20,280,12345,1,54321
10413,576955016,10413,630937473,53.982457,109.0,24,328,12345,1,54321
10413,676961109,10413,720912857,43.951748,90.0,20,280,12345,1,54321
10413,776886411,10413,831433243,54.546832,110.0,28,376,12345,1,54321
10413,876961046,10413,922693127,45.732081,92.0,28,376,12345,1,54321
10413,977255015,10414,31575222,54.320207,109.0,28,376,12345,1,54321
10414,77117316,10414,121137314,44.019998,89.0,20,280,12345,1,54321
10414,177035910,10414,237451951,60.416041,116.0,48,616,12345,1,54321
10414,276879253,10414,336154877,59.275624,99.0,20,280,12345,1,54321
10414,377163888,10414,420910886,43.746998,85.0,40,520,12345,1,54321
10414,476952690,10414,532470189,55.517499,111.0,20,280,12345,1,54321
10414,576908908,10414,664274952,87.366044,132.0,20,280,12345,1,54321
10414,676970418,10414,721003249,44.032831,57.0,24,328,12345,1,54321
10414,776915553,10414,833937469,57.021916,113.0,28,376,12345,1,54321
10414,876912313,10414,935180521,58.268208,101.0,28,376,12345,1,54321
10414,977027782,10415,32531281,55.503499,98.0,36,472,12345,1,54321
10415,77404583,10415,134856124,57.451541,102.0,24,328,12345,1,54321
10415,177079343,10415,219681841,42.602498,85.0,32,424,12345,1,54321
10415,277051020,10415,347766979,70.715959,128.0,32,424,12345,1,54321
10415,377014239,10415,433137238,56.122999,85.0,24,328,12345,1,54321
10415,477413499,10415,532844956,55.431457,100.0,16,232,12345,1,54321
10415,576877967,10415,636813633,59.935666,104.0,44,568,12345,1,54321
10415,676882602,10415,721324350,44.441748,84.0,16,232,12345,1,54321
10415,776968320,10415,840717237,63.748917,120.0,16,232,12345,1,54321
10415,877091080,10415,920194078,43.102998,79.0,20,280,12345,1,54321
10415,976939965,10416,32085006,55.145041,112.0,28,376,12345,1,54321
10416,77289059,10416,120008515,42.719456,88.0,20,280,12345,1,54321
10416,177099736,10416,225374275,48.274539,105.0,28,376,12345,1,54321
10416,276967871,10416,338813079,61.845208,114.0,28,376,12345,1,54321
10416,376901631,10416,436419630,59.517999,97.0,20,280,12345,1,54321
10416,476969266,10416,563212976,86.24371,127.0,20,280,12345,1,54321
10416,576960484,10416,623377107,46.416623,60.0,28,376,12345,1,54321
10416,677269619,10416,716281991,39.012372,93.0,28,376,12345,1,54321
10416,777031588,10416,840794796,63.763208,125.0,32,424,12345,1,54321
10416,877140639,10416,918649678,41.509039,78.0,44,568,12345,1,54321
10416,976937316,10417,35793524,58.856208,117.0,44,568,12345,1,54321
10417,77139701,10417,133163825,56.024124,97.0,24,328,12345,1,54321
10417,176878628,10417,242111544,65.232916,109.0,36,472,12345,1,54321
10417,276887346,10417,320493761,43.606415,78.0,32,424,12345,1,54321
10417,376884689,10417,424681479,47.79679,105.0,16,232,12345,1,54321
10417,476886700,10417,572751911,95.865211,148.0,24,328,12345,1,54321
10417,577098710,10417,638078542,60.979832,65.0,28,376,12345,1,54321
10417,677081178,10417,734817094,57.735916,97.0,52,664,12345,1,54321
10417,777013771,10417,831329895,54.316124,96.0,24,328,12345,1,54321
10417,877326406,10417,933851322,56.524916,103.0,40,520,12345,1,54321
10417,977150791,10418,34326416,57.175625,100.0,36,472,12345,1,54321
10418,77118385,10418,135506467,58.388082,102.0,24,328,12345,1,54321
10418,177300645,10418,236167061,58.866416,100.0,20,280,12345,1,54321
10418,276887613,10418,320250486,43.362873,84.0,28,376,12345,1,54321
10418,376921123,10418,438237248,61.316125,118.0,24,328,12345,1,54321
10418,477323592,10418,542452092,65.1285,104.0,28,376,12345,1,54321
10418,577065435,10418,639664601,62.599166,98.0,28,376,12345,1,54321
10418,676881945,10418,723414360,46.532415,83.0,36,472,12345,1,54321
10418,777294330,10418,818357119,41.062789,95.0,40,520,12345,1,54321
10418,877110257,10418,934486256,57.375999,116.0,32,424,12345,1,54321
10418,977020684,10419,58048810,81.028126,124.0,20,280,12345,1,54321
10419,76924402,10419,129810776,52.886374,72.0,16,232,12345,1,54321
10419,177137579,10419,220452910,43.315331,90.0,32,424,12345,1,54321
10419,277158547,10419,317240169,40.081622,97.0,16,232,12345,1,54321
10419,376936849,10419,436845681,59.908832,120.0,28,376,12345,1,54321
10419,477166942,10419,541335859,64.168917,104.0,32,424,12345,1,54321
10419,576923952,10419,640535202,63.61125,100.0,36,472,12345,1,54321
10419,676916921,10419,752819588,75.902667,112.0,32,424,12345,1,54321
10419,777115806,10419,833112221,55.996415,80.0,28,376,12345,1,54321
10419,876876607,10419,920818438,43.941831,88.0,28,376,12345,1,54321
10419,977226867,10420,31507116,54.280249,111.0,24,328,12345,1,54321
10420,77079252,10420,137083460,60.004208,105.0,24,328,12345,1,54321
10420,177335596,10420,222356010,45.020414,85.0,16,232,12345,1,54321
10420,276932773,10420,320875187,43.942414,99.0,24,328,12345,1,54321
10420,376954033,10420,421239155,44.285122,100.0,32,424,12345,1,54321
10420,477013501,10420,533808208,56.794707,113.0,24,328,12345,1,54321
10420,577079969,10420,621921592,44.841623,88.0,24,328,12345,1,54321
10420,677039688,10420,719211685,42.171997,97.0,36,472,12345,1,54321
