stamp_sec,stamp_nsec,record_time_ns,frame_id,width,height,point_count,group_count,degenerate_group_count,tcp_frame_found,tcp_points_match,max_point_error
8209,876900470,8209924395968,world,28,1,28,7,1,True,True,0.0
8209,977040730,8210029385187,world,20,1,20,5,1,True,True,0.0
8210,76975365,8210132557906,world,24,1,24,6,1,True,True,0.0
8210,177139542,8210240205083,world,20,1,20,5,1,True,True,0.0
8210,277008552,8210333381218,world,28,1,28,7,1,True,True,0.0
8210,376926270,8210440193645,world,32,1,32,8,1,True,True,0.0
8210,476951322,8210520708528,world,28,1,28,7,1,True,True,0.0
8210,577016916,8210620734747,world,20,1,20,5,1,True,True,0.0
8210,676921509,8210719694632,world,24,1,24,6,1,True,True,0.0
8210,776882102,8210838219810,world,28,1,28,7,1,True,True,0.0
8210,877016237,8210937070612,world,40,1,40,10,1,True,True,0.0
8210,976888747,8211030796538,world,20,1,20,5,1,True,True,0.0
8211,77060799,8211132408840,world,20,1,20,5,1,True,True,0.0
8211,177022268,8211218416973,world,20,1,20,5,1,True,True,0.0
8211,276947569,8211320222359,world,28,1,28,7,1,True,True,0.0
8211,377035913,8211438003204,world,28,1,28,7,1,True,True,0.0
8211,477071173,8211515438378,world,36,1,36,9,1,True,True,0.0
8211,576916558,8211619722930,world,20,1,20,5,1,True,True,0.0
8211,676924109,8211731785942,world,36,1,36,9,1,True,True,0.0
8211,777007786,8211817817117,world,24,1,24,6,1,True,True,0.0
8211,876953505,8211955992464,world,40,1,40,10,1,True,True,0.0
8211,976920515,8212036861139,world,20,1,20,5,1,True,True,0.0
8212,77097233,8212118999731,world,28,1,28,7,1,True,True,0.0
8212,176969743,8212220177157,world,32,1,32,8,1,True,True,0.0
8212,276901753,8212319328667,world,28,1,28,7,1,True,True,0.0
8212,376946055,8212432345137,world,24,1,24,6,1,True,True,0.0
8212,476950981,8212532231064,world,24,1,24,6,1,True,True,0.0
8212,576885908,8212618999864,world,32,1,32,8,1,True,True,0.0
8212,676879168,8212752432128,world,20,1,20,5,1,True,True,0.0
8212,776934262,8212841064095,world,28,1,28,7,1,True,True,0.0
8212,876988188,8212917979811,world,20,1,20,5,1,True,True,0.0
8212,977075657,8213034244864,world,24,1,24,6,1,True,True,0.0
8213,76880792,8213134009458,world,20,1,20,5,1,True,True,0.0
8213,176983427,8213240753052,world,56,1,56,14,1,True,True,0.0
8213,277160729,8213331862727,world,20,1,20,5,1,True,True,0.0
8213,376941072,8213418598278,world,28,1,28,7,1,True,True,0.0
8213,476887374,8213517983704,world,20,1,20,5,1,True,True,0.0
8213,577076634,8213616012881,world,24,1,24,6,1,True,True,0.0
8213,677012727,8213717302599,world,28,1,28,7,1,True,True,0.0
8213,776880279,8213831052611,world,20,1,20,5,1,True,True,0.0
8213,876955205,8213937111080,world,16,1,16,4,1,True,True,0.0
8213,976973549,8214039286882,world,20,1,20,5,1,True,True,0.0
8214,76906142,8214118111848,world,24,1,24,6,1,True,True,0.0
8214,177070319,8214232454235,world,28,1,28,7,1,True,True,0.0
8214,276896162,8214336785745,world,40,1,40,10,1,True,True,0.0
8214,377033797,8214414069253,world,36,1,36,9,1,True,True,0.0
8214,476943932,8214515769638,world,28,1,28,7,1,True,True,0.0
8214,576975692,8214617264107,world,28,1,28,7,1,True,True,0.0
8214,676889619,8214736044202,world,24,1,24,6,1,True,True,0.0
8214,776952296,8214831991461,world,52,1,52,13,1,True,True,0.0
8214,876974431,8214933228097,world,20,1,20,5,1,True,True,0.0
8214,977007649,8215018108063,world,32,1,32,8,1,True,True,0.0
8215,76939368,8215118672990,world,32,1,32,8,1,True,True,0.0
8215,176917169,8215270876339,world,28,1,28,7,1,True,True,0.0
8215,276941638,8215321724636,world,32,1,32,8,1,True,True,0.0
8215,376939856,8215434758022,world,28,1,28,7,1,True,True,0.0
8215,476929033,8215517358905,world,24,1,24,6,1,True,True,0.0
8215,576956418,8215627426041,world,20,1,20,5,1,True,True,0.0
8215,676953178,8215718706342,world,24,1,24,6,1,True,True,0.0
8215,777035688,8215823125936,world,24,1,24,6,1,True,True,0.0
8215,876936490,8215931770322,world,28,1,28,7,1,True,True,0.0
8215,976894750,8216028455207,world,28,1,28,7,1,True,True,0.0
8216,76983093,8216120501716,world,28,1,28,7,1,True,True,0.0
8216,177025645,8216241814645,world,40,1,40,10,1,True,True,0.0
8216,277018030,8216319311361,world,24,1,24,6,1,True,True,0.0
8216,377042207,8216432280581,world,48,1,48,12,1,True,True,0.0
8216,476968675,8216544400175,world,16,1,16,4,1,True,True,0.0
8216,576968935,8216638424768,world,16,1,16,4,1,True,True,0.0
8216,677062528,8216743566820,world,16,1,16,4,1,True,True,0.0
8216,777140080,8216819961036,world,28,1,28,7,1,True,True,0.0
8216,877101549,8216919171755,world,32,1,32,8,1,True,True,0.0
8216,977000309,8217019362181,world,28,1,28,7,1,True,True,0.0
8217,77074069,8217121104275,world,52,1,52,13,1,True,True,0.0
8217,177024162,8217220883160,world,24,1,24,6,1,True,True,0.0
8217,277048047,8217340172213,world,24,1,24,6,1,True,True,0.0
8217,376940974,8217431849764,world,24,1,24,6,1,True,True,0.0
8217,476904484,8217514997523,world,28,1,28,7,1,True,True,0.0
8217,576889577,8217620600700,world,20,1,20,5,1,True,True,0.0
8217,676906754,8217733859545,world,28,1,28,7,1,True,True,0.0
8217,776940556,8217874860851,world,28,1,28,7,1,True,True,0.0
8217,876969399,8217918867813,world,24,1,24,6,1,True,True,0.0
8217,977145242,8218021260615,world,28,1,28,7,1,True,True,0.0
8218,76907211,8218140278127,world,36,1,36,9,1,True,True,0.0
8218,176975721,8218219754094,world,24,1,24,6,1,True,True,0.0
8218,276978314,8218327783938,world,28,1,28,7,1,True,True,0.0
8218,377064324,8218414973905,world,40,1,40,10,1,True,True,0.0
8218,476881418,8218514736456,world,28,1,28,7,1,True,True,0.0
8218,576985803,8218620453384,world,32,1,32,8,1,True,True,0.0
8218,676916354,8218736240687,world,36,1,36,9,1,True,True,0.0
8218,776987198,8218833732030,world,24,1,24,6,1,True,True,0.0
8218,877020125,8218923064289,world,20,1,20,5,1,True,True,0.0
8218,976893218,8219038866759,world,28,1,28,7,1,True,True,0.0
8219,76928186,8219134534310,world,24,1,24,6,1,True,True,0.0
8219,177096738,8219217452527,world,28,1,28,7,1,True,True,0.0
8219,276905665,8219332317580,world,20,1,20,5,1,True,True,0.0
8219,377069258,8219432977007,world,24,1,24,6,1,True,True,0.0
8219,477041810,8219517507849,world,20,1,20,5,1,True,True,0.0
8219,576067028,8219638016653,world,24,1,24,6,1,True,True,0.0
8219,676972913,8219720015536,world,40,1,40,10,1,True,True,0.0
8219,777113173,8219835022047,world,28,1,28,7,1,True,True,0.0
8219,876920350,8219932733891,world,28,1,28,7,1,True,True,0.0
8219,976968735,8220041250818,world,20,1,20,5,1,True,True,0.0
8220,76936328,8220130848494,world,24,1,24,6,1,True,True,0.0
8220,176958463,8220246115464,world,20,1,20,5,1,True,True,0.0
8220,276959599,8220319782013,world,24,1,24,6,1,True,True,0.0
8220,377073900,8220422798982,world,24,1,24,6,1,True,True,0.0
8220,476880202,8220519691241,world,20,1,20,5,1,True,True,0.0
