source_stamp_sec,source_stamp_nsec,pack_time_sec,pack_time_nsec,pack_latency_ms,time_count_ms,point_count,frame_len,head_id,layer_size,end_id
8207,76876856,8207,132963980,56.087124,114.0,36,472,12345,1,54321
8207,176937491,8207,231775698,54.838207,99.0,24,328,12345,1,54321
8207,277014167,8207,346264793,69.250626,114.5,24,328,12345,1,54321
8207,376943844,8207,431936343,54.992499,85.5,36,472,12345,1,54321
8207,477045896,8207,537443854,60.397958,105.5,24,328,12345,1,54321
8207,576932697,8207,639395947,62.46325,102.0,24,328,12345,1,54321
8207,677015499,8207,733635207,56.619708,94.0,28,376,12345,1,54321
8207,776928259,8207,817866215,40.937956,84.5,40,520,12345,1,54321
8207,876892936,8207,934314727,57.421791,116.5,28,376,12345,1,54321
8207,977015696,8208,34793612,57.777916,100.5,24,328,12345,1,54321
8208,76892581,8208,131071622,54.179041,96.0,20,280,12345,1,54321
8208,176918216,8208,232807007,55.888791,102.0,24,328,12345,1,54321
8208,276887851,8208,330702017,53.814166,97.5,36,472,12345,1,54321
8208,376977945,8208,429442276,52.464331,99.0,32,424,12345,1,54321
8208,477051996,8208,539740704,62.688708,110.0,16,232,12345,1,54321
8208,576931798,8208,635788006,58.856208,96.5,24,328,12345,1,54321
8208,676936141,8208,716234055,39.297914,80.0,32,424,12345,1,54321
8208,777022151,8208,856947194,79.925043,141.0,28,376,12345,1,54321
8208,876904286,8208,933669535,56.765249,76.5,16,232,12345,1,54321
8208,976954130,8209,31938170,54.98404,98.5,28,376,12345,1,54321
8209,76942140,8209,120452596,43.510456,88.5,20,280,12345,1,54321
8209,176911483,8209,230923690,54.012207,110.5,24,328,12345,1,54321
8209,276979993,8209,335254034,58.274041,104.5,32,424,12345,1,54321
8209,377029545,8209,418053834,41.024289,82.5,36,472,12345,1,54321
8209,477078513,8209,517520636,40.442123,99.5,24,328,12345,1,54321
8209,576919815,8209,617903854,40.984039,100.5,28,376,12345,1,54321
8209,676960033,8209,733787116,56.827083,116.0,24,328,12345,1,54321
8209,776875127,8209,817758249,40.883122,84.0,24,328,12345,1,54321
8209,876900470,8209,924413177,47.512707,106.5,28,376,12345,1,54321
8209,977040730,8210,29597521,52.556791,105.0,20,280,12345,1,54321
8210,76975365,8210,132579781,55.604416,103.0,24,328,12345,1,54321
8210,177139542,8210,240249417,63.109875,107.5,20,280,12345,1,54321
8210,277008552,8210,333318801,56.310249,93.5,28,376,12345,1,54321
8210,376926270,8210,440503979,63.577709,107.0,32,424,12345,1,54321
8210,476951322,8210,520827528,43.876206,80.5,28,376,12345,1,54321
8210,577016916,8210,620757497,43.740581,100.0,20,280,12345,1,54321
8210,676921509,8210,719643298,42.721789,98.5,24,328,12345,1,54321
8210,776882102,8210,838345227,61.463125,119.0,28,376,12345,1,54321
8210,877016237,8210,937127195,60.110958,98.5,40,520,12345,1,54321
8210,976888747,8211,30823663,53.934916,94.0,20,280,12345,1,54321
8211,77060799,8211,132599006,55.538207,101.5,20,280,12345,1,54321
8211,177022268,8211,218451390,41.429122,86.0,20,280,12345,1,54321
8211,276947569,8211,320188817,43.241248,101.5,28,376,12345,1,54321
8211,377035913,8211,438097120,61.061207,118.0,28,376,12345,1,54321
8211,477071173,8211,515557670,38.486497,77.5,36,472,12345,1,54321
8211,576916558,8211,619630764,42.714206,104.0,20,280,12345,1,54321
8211,676924109,8211,731830275,54.906166,112.5,36,472,12345,1,54321
